sticker_url,from,from_id
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (203).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (204).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (205).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (206).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (207).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (208).webp,🐑💛🌙,59
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (208).webp,🐥💛🌻,8
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (209).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (21).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (210).webp,🐑💛🌙,6
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (210).webp,🐥💛🌻,6
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (211).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (211).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (212).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (213).webp,🐑💛🌙,6
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (213).webp,🐥💛🌻,11
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (214).webp,🐑💛🌙,6
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (214).webp,🐥💛🌻,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (215).webp,🐑💛🌙,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (215).webp,🐥💛🌻,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (216).webp,🐑💛🌙,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (216).webp,🐥💛🌻,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (217).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (218).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (219).webp,🐑💛🌙,5
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (219).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (22).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (220).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (220).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (221).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (222).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (223).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (224).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (224).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (225).webp,🐑💛🌙,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (226).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (227).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (228).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (229).webp,🐥💛🌻,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (23).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (230).webp,🐥💛🌻,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (231).webp,🐥💛🌻,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (232).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (232).webp,🐥💛🌻,3
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (233).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (234).webp,🐑💛🌙,1
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (235).webp,🐥💛🌻,4
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (236).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (237).webp,🐑💛🌙,2
https://raw.githubusercontent.com/truonghm/telegram-text-analysis/master/ChatExport/stickers/sticker (238).webp,🐑💛🌙,7
